transaction_id,transaction_date,transaction_time,transaction_type,item_code,item_name,category,subcategory,supplier_name,po_reference,invoice_reference,lot_number,quantity,unit,unit_cost,total_cost,location,recorded_by,expiration_date,notes
TXN-100001,2026-06-01,08:15,stock_in,PRD-2211,"Garlic, Peeled",Produce,Aromatics,Green Valley Produce Co.,PO-40792,INV-58858,LOT-260601-79,10.48,LB,6.64,69.59,Main Kitchen Cooler,D. Alvarez,2026-06-15,Received in good condition
TXN-100002,2026-06-01,16:44,stock_in,BEV-1005,"Draft Beer Keg, Lager",Beverage,Beer,BevCo Beverage Distribution,PO-40703,INV-58384,LOT-260601-10,5.0,keg,138.51,692.55,Bar Storage,L. Kim,2026-07-16,
TXN-100003,2026-06-01,10:06,stock_in,PRD-8801,All-Purpose Flour,Dry Goods,Baking,Pantry Staples Wholesale,PO-40370,INV-58144,LOT-260601-68,4.0,50LB BAG,21.45,85.8,Dry Storage Room,C. Romero,2027-06-01,
TXN-100004,2026-06-01,17:04,stock_out,PRD-8803,Kosher Salt,Dry Goods,Seasoning,Pantry Staples Wholesale,,,,-1.0,25lb bag,10.52,-10.52,Dry Storage Room,M. Osei,,
TXN-100005,2026-06-01,16:53,stock_in,PRD-8804,"Olive Oil, Extra Virgin",Dry Goods,Oils,Pantry Staples Wholesale,PO-40314,INV-58786,LOT-260601-44,4.0,case (6x1L),56.8,227.2,Dry Storage Room,T. Fischer,2027-06-01,
TXN-100006,2026-06-01,08:59,stock_out,PRD-3315,Heavy Cream 40%,Dairy,Cream & Milk,Dairy Fresh Cooperative,,,,-9.78,gal,9.84,-96.24,Main Kitchen Cooler,T. Fischer,,
TXN-100007,2026-06-01,10:17,waste,PRD-1104,Sea Scallops U-10,Seafood,Shellfish,Harborline Seafood Distributors,,,,-0.52,lb,23.99,-12.47,Main Kitchen Cooler,C. Romero,,Damaged in delivery
TXN-100008,2026-06-01,07:15,stock_in,PRD-9902,Brioche Burger Buns,Bakery,Bread,Sunrise Bakery Supply,PO-40864,INV-58698,LOT-260601-64,6.0,case (48ct),28.68,172.08,Dry Storage Room,C. Romero,2026-06-06,
TXN-100009,2026-06-01,07:40,transfer,PRD-2207,Yukon Gold Potatoes,Produce,Root Vegetables,Green Valley Produce Co.,,,,1.0,sack,28.43,28.43,Prep Station Fridge,R. Patel,,Transferred to Walk-In Freezer
TXN-100010,2026-06-01,06:43,transfer,BEV-1005," Draft Beer Keg, Lager ",Beverage,Beer,BevCo Beverage Distribution,,,,2.0,keg,151.23,302.46,Walk-In Freezer,M. Osei,,Transferred to Bar Storage
TXN-100011,2026-06-01,18:11,adjustment,PRD-7701,"Chicken Breast, Boneless",Meat,Poultry,Metro Meat & Poultry,,,,0.05,lb,4.54,0.23,Main Kitchen Cooler,T. Fischer,,Recount after audit
TXN-100012,2026-06-01,13:49,waste,PRD-8803,Kosher Salt,Dry Goods,Seasoning,Pantry Staples Wholesale,,,,-2.0,25lb bag,11.74,-23.48,Dry Storage Room,C. Romero,,Dropped/contaminated
TXN-100013,2026-06-01,08:56,stock_in,PRD-7704,"Bacon, Sliced",Meat,Pork,Metro Meat & Poultry,PO-40849,INV-58597,LOT-260601-18,23.56,lb,6.71,158.09,Main Kitchen Cooler,L. Kim,2026-06-15,
